Phase,Number,Name,Program,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Project Substantial Completion,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Project Substantial Completion (Performance/Reference),Schedule Variance
PLANNING,1132446,RSD S LANGSTN RD@132ST DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,9/15/2020,10/1/2020,10/9/2020,10/8/2020,,,,12/31/2021,9/15/2020,10/1/2020,10/9/2020,10/8/2020,,,,12/31/2021,
PREDESIGN,1132448,RSD SW 108ST@10 AVE SW DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,,,,,,,,,,,,,,,,,
DESIGN,1132450,RSD 177 AVE SE DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,,,,,,,,12/31/2018,,,,,,,,,
PREDESIGN,1132523,RSD GREEN RVR RD S28728 DR IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,5/24/2019,6/14/2019,,8/21/2017,,,,,,,,,,,,,
DESIGN,1132710,RSD DRAIN IMP SAHALEE-4800,RSD CWP DRAINAGE PRESERVATION,"Dulan, Lica",Drainage,11/8/2018,4/16/2018,5/1/2018,4/27/2018,7/2/2018,12/21/2018,6/1/2022,8/1/2020,11/8/2018,4/16/2018,5/1/2018,4/27/2018,7/2/2018,12/21/2018,6/1/2022,8/1/2020,
CLOSEOUT,1132958,RSD 15 MILE BRDG #1384A LOAD,RSD QUICK RESPONSE,"Martin, TingTing",Contingencies,,,,,,,,6/13/2018,,,,,,,,,
CLOSEOUT,1133219,RSD VASHON HWY SW PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,,,4/5/2018,,,,,10/10/2018,,,4/5/2018,,,,,10/10/2018,58.88%
CLOSEOUT,1133220,RSD 2018 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,,1/1/2018,1/1/2018,1/1/2018,,,8/13/2018,9/4/2019,,,,,,,,,-4.08%
CLOSEOUT,1133413,RSD SE SAWYER RDG OVERLAY,RSD CW ROADWAY PRESERVATION,"Moore, Paul",Roadway,,,,,,,,12/31/2018,,,,,,,,,
CLOSEOUT,1133440,RSD MOUNT VIEW RD REPAIR,RSD CWP QUICK RESPONSE,"Shular, Ryan",Roadside,,,,,,,,,,,,,,,,,
