Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Capital/Operating
DESIGN,1131157,RSD HGH COLLSN SIGHTLINE IMPV,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Karinen, Martin",Traffic Control,,11/16/2017,12/12/2020,2/28/2019,7/15/2020,10/15/2020,5/28/2022,,11/16/2017,12/12/2020,2/28/2019,7/15/2020,10/15/2020,9/28/2021,Capital Project
IMPLEMENT,1131162,RSD HGH COLLSN SIGNAL MOD,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Zhen, Haiyan",Traffic Control,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1131163,RSD HGH FRICTION SURF TMT,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Sahagun, Dan",Traffic Control,,,12/20/2017,5/23/2017,,,8/1/2018,,,12/20/2017,5/23/2017,,,8/1/2018,Capital Project
DESIGN,1131235,RSD S 360ST&MILITARY RD RNDABT,,No,Yes,"Karinen, Martin",Traffic Control,,12/6/2019,10/15/2021,9/23/2020,4/8/2021,2/15/2022,4/28/2024,,12/6/2019,2/23/2021,9/23/2020,4/8/2021,9/3/2021,9/14/2023,Capital Project
HOLD,1131236,RSD S LANGSTON RD&59 AV RNDABT,,No,Yes,"McManus, Aileen",Traffic Control,,,,,,,,,,,,,,,Capital Project
IMPLEMENT,1131333,RSD CWP FLOOD CONTROL DISTRICT,RSD CWP FLOOD CONTROL DISTRICT,Yes,Yes,"Lyou, John",Drainage,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1131387,RSD 2017 CW PVMNT PRESERVATION,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,3/24/2017,,,,,,,,,,,,Capital Project
CLOSEOUT,1131508,RSD DIV 4 FACLTY IMPRVMT 17-18,RSD FACIL PRESERVATION C/WIDE,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,,,,,,Capital Project
DESIGN,1131511,RSD SAHALEE WY NE 46000 BLK,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Dulan, Lica",Drainage,11/8/2018,7/16/2019,11/30/2017,7/27/2017,11/20/2017,1/10/2018,8/1/2022,11/8/2018,7/16/2019,11/30/2017,7/27/2017,11/20/2017,1/10/2018,8/15/2021,Capital Project
DESIGN,1131526,RSD SE PTRVSKY & 134 A SE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,9/17/2018,8/21/2018,1/6/2020,8/2/2018,8/16/2019,4/15/2020,3/1/2023,9/17/2018,8/21/2018,1/6/2020,8/2/2018,8/16/2019,9/1/2021,3/1/2023,Capital Project
